algorithm,comparison_index,local_relative_path,sha256,official_archive_path,official_container_path,match_status,duplicate_count,notes
RDE26,1,data/RDE26/RDE26_CEC26_SOP_F1.txt,4055d132e082fe3b2614fa75173dbaa90a56f09a3e889b3f0008ead584c06395,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F1.txt,exact_sha256_match,4,
RDE26,2,data/RDE26/RDE26_CEC26_SOP_F2.txt,6fcad2e398ebbfdaaa059a763bfd5b09c7137896f4d0ac80e9ee07dd69539228,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F2.txt,exact_sha256_match,4,
RDE26,3,data/RDE26/RDE26_CEC26_SOP_F3.txt,ceb926d44a81f10a9b23cec572f4d8fa40b5cad69fcabb1138ce4d30561f3ae6,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F3.txt,exact_sha256_match,4,
RDE26,4,data/RDE26/RDE26_CEC26_SOP_F4.txt,046280bf7bdbf6148dd032689927d1db08d600839a84989f8fbfc205d0a74de4,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F4.txt,exact_sha256_match,4,
RDE26,5,data/RDE26/RDE26_CEC26_SOP_F5.txt,8904be75a11fc6a667c1f961068452bb358669d846ef3fc554041b2426f8303a,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F5.txt,exact_sha256_match,4,
RDE26,6,data/RDE26/RDE26_CEC26_SOP_F6.txt,667e563d276baed7ff708dc5c4833525c969a91401671fe49386e9f39bece9bb,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F6.txt,exact_sha256_match,4,
RDE26,7,data/RDE26/RDE26_CEC26_SOP_F7.txt,b8a29696de0d1547488413df049b21000755c8039fe3b91194250166f7c84876,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F7.txt,exact_sha256_match,4,
RDE26,8,data/RDE26/RDE26_CEC26_SOP_F8.txt,1bcaa26e66a97a89e8196eeeeb8edcc5e8aff4efd58a12f3a3027f025f25a1bb,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F8.txt,exact_sha256_match,4,
RDE26,9,data/RDE26/RDE26_CEC26_SOP_F9.txt,64d71567996ac13b834f14adc2e1637b593785f97784f36e6ed5277c874ebef1,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F9.txt,exact_sha256_match,4,
RDE26,10,data/RDE26/RDE26_CEC26_SOP_F10.txt,e076eb9f8057bf68ece287101631de78dba95c81bd67dc6f500828e9ece14105,archives/official/CEC2026-SOP竞赛.zip,CEC2026-SOP竞赛/Submission results IEEE UCOPs CEC 2026/Submission results IEEE UCOPs CEC 2026/Compared algorithms/RDE26(陶)/RDE26_CEC26_SOP_F10.txt,exact_sha256_match,4,
